modelo,clase_modelo,ruta_archivo,hidden_dims,dropout,learning_rate,weight_decay,seed,val_rmse_log,test_rmse_dollars,descripcion,fecha_registro
grid_semilla42_128_64_drop03_lr0.0005_wd0.0001,MLP,,"[128, 64]",0.3,0.0005,0.0001,42.0,0.7565707096797837,,"{'hidden_dims': [128, 64], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:42
grid_semilla42_128_64_drop03_lr0.0005_wd1e-05,MLP,,"[128, 64]",0.3,0.0005,1e-05,42.0,0.6530302931217589,,"{'hidden_dims': [128, 64], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:43
grid_semilla99_64_32_drop02_lr0.001_wd0.0001,MLP,,"[64, 32]",0.2,0.001,0.0001,99.0,0.6851626421616817,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:43
grid_semilla99_64_32_drop02_lr0.001_wd1e-05,MLP,,"[64, 32]",0.2,0.001,1e-05,99.0,0.6879006504394773,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:43
grid_semilla99_64_32_drop02_lr0.0005_wd0.0001,MLP,,"[64, 32]",0.2,0.0005,0.0001,99.0,0.7432068767738288,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:43
grid_semilla99_64_32_drop02_lr0.0005_wd1e-05,MLP,,"[64, 32]",0.2,0.0005,1e-05,99.0,0.6576991731909826,,"{'hidden_dims': [64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:43
grid_semilla99_64_32_drop03_lr0.001_wd0.0001,MLP,,"[64, 32]",0.3,0.001,0.0001,99.0,0.7141482960405457,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:43
grid_semilla99_64_32_drop03_lr0.001_wd1e-05,MLP,,"[64, 32]",0.3,0.001,1e-05,99.0,0.8980548043583355,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:43
grid_semilla99_64_32_drop03_lr0.0005_wd0.0001,MLP,,"[64, 32]",0.3,0.0005,0.0001,99.0,0.768161558419873,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:44
grid_semilla99_64_32_drop03_lr0.0005_wd1e-05,MLP,,"[64, 32]",0.3,0.0005,1e-05,99.0,1.0970223203809164,,"{'hidden_dims': [64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:44
grid_semilla99_128_64_32_drop02_lr0.001_wd0.0001,MLP,modelos\grid_semilla99_128_64_32_drop02_lr0.001_wd0.0001.pt,"[128, 64, 32]",0.2,0.001,0.0001,99.0,0.3715987333336195,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:44
grid_semilla99_128_64_32_drop02_lr0.001_wd1e-05,MLP,,"[128, 64, 32]",0.2,0.001,1e-05,99.0,0.4582319273897663,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:44
grid_semilla99_128_64_32_drop02_lr0.0005_wd0.0001,MLP,,"[128, 64, 32]",0.2,0.0005,0.0001,99.0,0.5790457460073043,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:44
grid_semilla99_128_64_32_drop02_lr0.0005_wd1e-05,MLP,,"[128, 64, 32]",0.2,0.0005,1e-05,99.0,0.5222469473908309,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:45
grid_semilla99_128_64_32_drop03_lr0.001_wd0.0001,MLP,,"[128, 64, 32]",0.3,0.001,0.0001,99.0,0.50485950320243,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:45
grid_semilla99_128_64_32_drop03_lr0.001_wd1e-05,MLP,,"[128, 64, 32]",0.3,0.001,1e-05,99.0,0.491710080604831,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:45
grid_semilla99_128_64_32_drop03_lr0.0005_wd0.0001,MLP,,"[128, 64, 32]",0.3,0.0005,0.0001,99.0,0.5326280741738281,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:45
grid_semilla99_128_64_32_drop03_lr0.0005_wd1e-05,MLP,,"[128, 64, 32]",0.3,0.0005,1e-05,99.0,0.6100650287710333,,"{'hidden_dims': [128, 64, 32], 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:46
grid_semilla99_128_64_drop02_lr0.001_wd0.0001,MLP,,"[128, 64]",0.2,0.001,0.0001,99.0,0.5280392757793995,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:46
grid_semilla99_128_64_drop02_lr0.001_wd1e-05,MLP,,"[128, 64]",0.2,0.001,1e-05,99.0,0.6291383488758119,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.001, 'weight_decay': 1e-05}",2026-08-19 02:46
grid_semilla99_128_64_drop02_lr0.0005_wd0.0001,MLP,,"[128, 64]",0.2,0.0005,0.0001,99.0,0.5873425654908218,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 0.0001}",2026-08-19 02:46
grid_semilla99_128_64_drop02_lr0.0005_wd1e-05,MLP,,"[128, 64]",0.2,0.0005,1e-05,99.0,0.7857798034529242,,"{'hidden_dims': [128, 64], 'dropout': 0.2, 'learning_rate': 0.0005, 'weight_decay': 1e-05}",2026-08-19 02:46
grid_semilla99_128_64_drop03_lr0.001_wd0.0001,MLP,,"[128, 64]",0.3,0.001,0.0001,99.0,0.5746617241272205,,"{'hidden_dims': [128, 64], 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}",2026-08-19 02:46
